smiles,D
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N(C)CCc3ccccc3)ccc21,-6.215
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N(C)CCO)ccc21,-5.721
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3C4CCC3CC(O)C4)ccc21,-5.193
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CC(C)OC(C)C3)ccc21,-5.363
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CC(O)C3)ccc21,-6.167
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCC(Cc4ccccc4)CC3)ccc21,-6.509
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCC(CCO)CC3)ccc21,-5.237
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCC(CO)CC3)ccc21,-5.354
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCC(O)CC3)ccc21,-5.492
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCC(CO)C3)ccc21,-5.283
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCC(O)C3)ccc21,-5.475
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCC3)ccc21,-5.261
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCC3CO)ccc21,-5.162
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCCC3Cc3ccccc3)ccc21,-6.538
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCCN(C)CC3)ccc21,-5.081
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(C(C)C)CC3)ccc21,-5.33
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(C)CC3)ccc21,-5.081
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(c4ccccn4)CC3)ccc21,-5.747
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(c4ncccn4)CC3)ccc21,-5.59
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(CCN(C)C)CC3)ccc21,-5.446
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCN(CCO)CC3)ccc21,-5.9
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCNC(=O)C3)ccc21,-7.523
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)N3CCOCC3)ccc21,-5.133
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC(CO)C(C)C)ccc21,-5.323
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC(CO)c3ccccc3)ccc21,-5.873
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC(CO)CC(C)C)ccc21,-5.432
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC(CO)Cc3ccccc3)ccc21,-5.503
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC3CC3)ccc21,-5.256
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)Nc3ccc(C)nc3)ccc21,-5.575
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)Nc3cccc(Cl)c3)ccc21,-6.585
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC3CCN(Cc4ccccc4)CC3)ccc21,-5.719
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NC3CCOCC3)ccc21,-5.109
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)Nc3cnccc3C)ccc21,-5.654
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NCC(C)C)ccc21,-5.69
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NCC(O)CO)ccc21,-6.125
CC(=O)N1CCCCCCCN(CCC(C)C)Cc2cc(C(=O)NCCCCCO)ccc21,-5.48
CC(=O)N1CCCN(C(=O)C2CC(=O)N(C)CC(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,-7.699
CC(=O)N1CCCN(C(=O)C2CC(=O)NC(Cc3ccccc3)C(=O)NCCOc3ccccc3C(=O)N2)CC1,-7.699
CC(=O)N1CCCN(C(=O)C2CCC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)COc3ccccc3C(=O)N2)CC1,-7.398
CC(=O)Nc1cc(C(=O)N2CCOC3(CCCCc4ccccc4OCCN(C)C3=O)C2)ccn1,-6.276
CC(=O)Nc1ccc(NC(=O)CN2CCOC3(CCCCc4ccccc4OCCNC3=O)C2)cc1,-7.523
CC(=O)Nc1ccc2nc(NC(=O)CN3CCC4NC(=O)C(Cc5ccccc5)NC(=O)C5(C/C=C/CC4C3)CCOCC5)sc2c1,-7.301
CC(=O)NCC(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OCC(Cc2ccccc2)NC(=O)C1,-6.456
CC(=O)NCC(=O)N1CCOC2(CCCCc3ccccc3OCCN(C)C2=O)C1,-6.268
CC(=O)NCC(=O)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,-6.62
CC(C)(C)c1cc(C(=O)N2CCCC3(CCCCCOc4ccccc4C(=O)NC3)C2)[nH]n1,-5.239
CC(C)(C)CC(=O)N1CCCCC2(CO)CCN(CC2)C(=O)c2ccccc2OCC1,-6.42
