system	functional	call	action	probe_defect	probe_stderr	defect_score	full_defect	replicate_defect	energy_defect_Ha	ace_rank	operator_memory_MiB	exx_call_time_s	probes_used
LiF2	PBE0	23	reuse	3.653516581461251e-7	0.0	3.653516581461251e-7	NaN	NaN	NaN	5	0.16139984130859375	0.006169335	1
LiF2	PBE0	24	reuse	3.1240469975416485e-7	0.0	3.1240469975416485e-7	NaN	NaN	NaN	5	0.16139984130859375	0.011444885	1
LiF2	PBE0	25	reuse	3.250350161466272e-7	0.0	3.250350161466272e-7	NaN	NaN	NaN	5	0.16139984130859375	0.00621921	1
LiF2	PBE0	26	reuse	2.84292288120127e-7	0.0	2.84292288120127e-7	NaN	NaN	NaN	5	0.16139984130859375	0.006180974	1
Si8	PBE0	1	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.482143122	0
Si8	PBE0	2	rebuild	0.008678532920595883	0.0	0.008678532920595883	NaN	NaN	NaN	16	2.5057296752929688	1.569158846	1
Si8	PBE0	3	reuse	0.002763219313005996	0.0	0.002763219313005996	NaN	NaN	NaN	16	2.5057296752929688	0.142189673	1
Si8	PBE0	4	rebuild	0.004246353336903687	0.0	0.004246353336903687	NaN	NaN	NaN	16	2.5057296752929688	1.519631191	1
Si8	PBE0	5	reuse	0.0008726775448006155	0.0	0.0008726775448006155	NaN	NaN	NaN	16	2.5057296752929688	0.324840667	1
Si8	PBE0	6	reuse	0.0008715023547596759	0.0	0.0008715023547596759	NaN	NaN	NaN	16	2.5057296752929688	0.105989421	1
Si8	PBE0	7	reuse	0.0009275962031701476	0.0	0.0009275962031701476	NaN	NaN	NaN	16	2.5057296752929688	0.327833916	1
Si8	PBE0	8	reuse	0.000872135032858578	0.0	0.000872135032858578	NaN	NaN	NaN	16	2.5057296752929688	0.156485329	1
Si8	PBE0	9	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.452221789	0
Si8	PBE0	10	reuse	0.00020558732496943588	0.0	0.00020558732496943588	NaN	NaN	NaN	16	2.5057296752929688	0.309837545	1
Si8	PBE0	11	reuse	0.00019063750528202836	0.0	0.00019063750528202836	NaN	NaN	NaN	16	2.5057296752929688	0.106531339	1
Si8	PBE0	12	reuse	0.00017990610904965325	0.0	0.00017990610904965325	NaN	NaN	NaN	16	2.5057296752929688	0.316888304	1
Si8	PBE0	13	reuse	0.00018773443378515138	0.0	0.00018773443378515138	NaN	NaN	NaN	16	2.5057296752929688	0.137376033	1
Si8	PBE0	14	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.473161675	0
Si8	PBE0	15	reuse	4.4880112584379974e-5	0.0	4.4880112584379974e-5	NaN	NaN	NaN	16	2.5057296752929688	0.325552492	1
Si8	PBE0	16	reuse	4.19441049785186e-5	0.0	4.19441049785186e-5	NaN	NaN	NaN	16	2.5057296752929688	0.125460173	1
Si8	PBE0	17	reuse	3.953105216727073e-5	0.0	3.953105216727073e-5	NaN	NaN	NaN	16	2.5057296752929688	0.321350786	1
Si8	PBE0	18	reuse	3.7189057666145025e-5	0.0	3.7189057666145025e-5	NaN	NaN	NaN	16	2.5057296752929688	0.104349217	1
Si8	PBE0	19	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.600670511	0
Si8	PBE0	20	reuse	8.63519431071042e-6	0.0	8.63519431071042e-6	NaN	NaN	NaN	16	2.5057296752929688	0.309726568	1
Si8	PBE0	21	reuse	7.77024369668873e-6	0.0	7.77024369668873e-6	NaN	NaN	NaN	16	2.5057296752929688	0.107878673	1
Si8	PBE0	22	reuse	6.954065630902121e-6	0.0	6.954065630902121e-6	NaN	NaN	NaN	16	2.5057296752929688	0.28799988	1
Si8	PBE0	23	reuse	6.78019754928134e-6	0.0	6.78019754928134e-6	NaN	NaN	NaN	16	2.5057296752929688	0.13928003	1
Si8	PBE0	24	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.487507682	0
Si8	PBE0	25	reuse	1.602410816101827e-6	0.0	1.602410816101827e-6	NaN	NaN	NaN	16	2.5057296752929688	0.327116974	1
Si8	PBE0	26	reuse	1.5783877596787959e-6	0.0	1.5783877596787959e-6	NaN	NaN	NaN	16	2.5057296752929688	0.12746127	1
Si8	PBE0	27	reuse	1.6080815690381155e-6	0.0	1.6080815690381155e-6	NaN	NaN	NaN	16	2.5057296752929688	0.136131803	1
Si8	PBE0	28	reuse	1.7675284039776755e-6	0.0	1.7675284039776755e-6	NaN	NaN	NaN	16	2.5057296752929688	0.308321967	1
Si8	PBE0	29	rebuild	NaN	NaN	NaN	NaN	NaN	NaN	16	2.5057296752929688	1.434785511	0
Si8	PBE0	30	reuse	4.713975114582945e-7	0.0	4.713975114582945e-7	NaN	NaN	NaN	16	2.5057296752929688	0.311736668	1
