system	method	evaluation	accepted_iteration	density_residual	elapsed_s
MgO2	ACE_full	20	20	8.146368452294313e-6	3.377806472
MgO2	ACE_full	21	21	5.5241461517074804e-6	3.512475705
MgO2	ACE_full	22	22	3.7489634221642123e-6	3.646980119
MgO2	ACE_full	23	23	2.546369341278594e-6	3.78138416
MgO2	ACE_full	24	24	1.7311237189115801e-6	4.132604635
MgO2	ACE_full	25	25	1.1779506493297942e-6	4.277680501
MgO2	ACE_full	26	26	8.023314368722504e-7	4.41311626
MgO2	AdaptiveEXX	1	1	0.02040717740641565	0.097508817
MgO2	AdaptiveEXX	2	2	0.014128497058417108	0.234084077
MgO2	AdaptiveEXX	3	3	0.008817001231663082	0.30068393
MgO2	AdaptiveEXX	4	4	0.004964665340584592	0.369337862
MgO2	AdaptiveEXX	5	5	0.003068166259346448	0.438080103
MgO2	AdaptiveEXX	6	6	0.001988921414660127	0.503697521
MgO2	AdaptiveEXX	7	7	0.0012917452252885614	0.630519399
MgO2	AdaptiveEXX	8	8	0.0008671224903461721	0.705588637
MgO2	AdaptiveEXX	9	9	0.0006147089477447281	0.777087478
MgO2	AdaptiveEXX	10	10	0.0004305170233209043	0.843500295
MgO2	AdaptiveEXX	11	11	0.00029725438579729764	0.909519607
MgO2	AdaptiveEXX	12	12	0.00021040524207535636	1.241134359
MgO2	AdaptiveEXX	13	13	0.000140924073606899	1.325413163
MgO2	AdaptiveEXX	14	14	0.00010054599267321069	1.392595359
MgO2	AdaptiveEXX	15	15	7.080925549966242e-5	1.459827565
MgO2	AdaptiveEXX	16	16	4.910049774091566e-5	1.525592821
MgO2	AdaptiveEXX	17	17	3.406228853576931e-5	1.643702507
MgO2	AdaptiveEXX	18	18	2.3985382423736455e-5	1.716215013
MgO2	AdaptiveEXX	19	19	1.716587016236891e-5	1.785416165
MgO2	AdaptiveEXX	20	20	1.2066040210878517e-5	1.85577976
MgO2	AdaptiveEXX	21	21	8.364796498179295e-6	1.921533417
MgO2	AdaptiveEXX	22	22	5.809576345517865e-6	2.045486034
