system	call	action	probe1_defect	probe1_relative_error	probe3_defect	probe3_stderr	probe3_score	probe3_relative_error	full_occupied_defect	independent_probe1_defect	independent_probe1_relative_error	exchange_energy_defect_meV	ace_rank	exx_call_time_s
MgO2	8	reuse	0.00028038718588624677	0.0010006270394811796	0.00027909237787234853	2.7794548615765096e-6	0.00028465128759550153	0.003621922417303603	0.0002801069033448146	0.00028261988141314013	0.008971496376267544	5.070331251973743	8	0.127153028
MgO2	9	reuse	0.00021486460004758787	0.0005300584215152185	0.00021539473205598928	1.9855430223243622e-6	0.000219365818100638	0.0029986503124991475	0.00021475076959363788	0.00021416979006325123	0.002705366464977093	3.7433010363964785	8	0.11720561
MgO2	10	reuse	0.00019406826904467913	0.002446827280140766	0.00019375288708624273	1.7474473035766635e-7	0.00019410237654695806	0.0008177426019898195	0.00019359457655348077	0.00019240783474232348	0.006130036451870575	3.2690391697124075	8	0.118965287
MgO2	11	reuse	0.00018211244033802343	0.02290658131426925	0.00018448221514401423	3.2512662215295356e-6	0.0001909847475870733	0.01019195642426709	0.00018638181043423597	0.00018928671557973353	0.015585775987096893	3.0927517259569037	8	0.117374812
MgO2	12	rebuild	0.0001853643541328547	0.008464775991866057	0.00018165708590570128	3.565396240893132e-6	0.00018878787838748755	0.011704416945619973	0.0001838084567212983	0.00019393620750878326	0.055099482189991306	3.022670045097427	8	0.175088952
MgO2	13	reuse	4.291083178133032e-5	0.022174352978754013	4.362387992839744e-5	8.634202627432707e-7	4.535072045388398e-5	0.005925850285628493	4.388392952470592e-5	4.2485599553205555e-5	0.031864283500708974	0.7637227879524616	8	0.117398277
MgO2	14	reuse	3.395360582322978e-5	0.016331130451476397	3.333110661668242e-5	8.007188531453742e-7	3.4932544322973166e-5	0.002302098831717569	3.340801516937384e-5	3.4957676797006145e-5	0.04638592325152351	0.5309962726660595	8	0.320830775
MgO2	15	reuse	2.9384142539170695e-5	0.026968398033044967	3.034147848139912e-5	5.024412619249285e-7	3.134636100524898e-5	0.004732990709039465	3.019854902941642e-5	3.056513126445955e-5	0.012139067830247149	0.4472412091141603	8	0.114061071
MgO2	16	reuse	2.915273302780318e-5	0.0005843034491581778	2.9490502738188143e-5	1.707068620042351e-7	2.9831916462196615e-5	0.012177284116509056	2.9135708932580203e-5	2.9286313457573324e-5	0.005169070206653223	0.41574096526647997	8	0.116757288
MgO2	17	rebuild	2.7600591151520337e-5	0.04036137187050526	2.8644066510568302e-5	7.130699260646744e-7	3.007020636269765e-5	0.004081016259768168	2.8761442424758126e-5	2.9673970184797065e-5	0.031727468551904975	0.403110288492737	8	0.173890027
