 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.53010000E+00  0.55394675E+05  0.55395978E+05  0.55401188E+05  0.16990313E+04  0.46529889E+04  0.58487164E+04
  0.53450000E+00  0.55651806E+05  0.55653124E+05  0.55658397E+05  0.16697563E+04  0.46759454E+04  0.58723269E+04
  0.53900000E+00  0.55919230E+05  0.55920564E+05  0.55925901E+05  0.16838141E+04  0.46994627E+04  0.58965137E+04
  0.54340000E+00  0.56176277E+05  0.56177627E+05  0.56183026E+05  0.16975595E+04  0.47057044E+04  0.59190800E+04
  0.54790000E+00  0.56443776E+05  0.56445142E+05  0.56450605E+05  0.17116174E+04  0.47283965E+04  0.59422049E+04
  0.55230000E+00  0.56699826E+05  0.56701207E+05  0.56706733E+05  0.17253628E+04  0.47499044E+04  0.59768320E+04
  0.55680000E+00  0.56966462E+05  0.56967859E+05  0.56973450E+05  0.17394206E+04  0.47719494E+04  0.59990438E+04
  0.56130000E+00  0.57232090E+05  0.57234918E+05  0.57239159E+05  0.17534784E+04  0.47936663E+04  0.60207090E+04
  0.56570000E+00  0.57488053E+05  0.57489483E+05  0.57495201E+05  0.17200894E+04  0.48142021E+04  0.60407554E+04
  0.57020000E+00  0.57753385E+05  0.57756277E+05  0.57760614E+05  0.17337723E+04  0.48352598E+04  0.60750790E+04
  0.57460000E+00  0.58009333E+05  0.58010795E+05  0.58016641E+05  0.17471511E+04  0.48376422E+04  0.60941938E+04
  0.57910000E+00  0.58274766E+05  0.58276244E+05  0.58282155E+05  0.17608339E+04  0.48578313E+04  0.61138111E+04
  0.58350000E+00  0.58529603E+05  0.58532591E+05  0.58537072E+05  0.17742128E+04  0.48768444E+04  0.61460533E+04
  0.58800000E+00  0.58795525E+05  0.58797035E+05  0.58801565E+05  0.17878956E+04  0.48963538E+04  0.61647121E+04
  0.59240000E+00  0.59051101E+05  0.59052627E+05  0.59057206E+05  0.18012744E+04  0.49146889E+04  0.61817518E+04
  0.59690000E+00  0.59314836E+05  0.59317922E+05  0.59322549E+05  0.17638215E+04  0.49335097E+04  0.62140020E+04
  0.60130000E+00  0.59569973E+05  0.59573091E+05  0.59577766E+05  0.17768233E+04  0.49511576E+04  0.62300701E+04
  0.60580000E+00  0.59834909E+05  0.59838060E+05  0.59842785E+05  0.17901207E+04  0.49692804E+04  0.62616605E+04
  0.61030000E+00  0.60099789E+05  0.60102972E+05  0.60107747E+05  0.18034181E+04  0.49870489E+04  0.62777724E+04
  0.61470000E+00  0.60354876E+05  0.60358092E+05  0.60362915E+05  0.18164199E+04  0.50230034E+04  0.63076666E+04
  0.61920000E+00  0.60619919E+05  0.60621543E+05  0.60628040E+05  0.18297173E+04  0.50402768E+04  0.63227724E+04
  0.62360000E+00  0.60875391E+05  0.60877031E+05  0.60881953E+05  0.18427192E+04  0.50563797E+04  0.63519983E+04
  0.62810000E+00  0.61140927E+05  0.61142584E+05  0.61147555E+05  0.18560165E+04  0.50729343E+04  0.63660841E+04
  0.63250000E+00  0.61395443E+05  0.61397116E+05  0.61403809E+05  0.18132142E+04  0.50883196E+04  0.63946334E+04
  0.63700000E+00  0.61661792E+05  0.61663482E+05  0.61668552E+05  0.18261145E+04  0.51041452E+04  0.64239272E+04
  0.64140000E+00  0.61917311E+05  0.61919018E+05  0.61924136E+05  0.18387282E+04  0.51188026E+04  0.64355486E+04
  0.64590000E+00  0.62181369E+05  0.62184815E+05  0.62189983E+05  0.18516285E+04  0.51338884E+04  0.64641463E+04
  0.65030000E+00  0.62438199E+05  0.62439938E+05  0.62445156E+05  0.18642422E+04  0.51688615E+04  0.64914722E+04
  0.65480000E+00  0.62703655E+05  0.62705411E+05  0.62710679E+05  0.18771425E+04  0.51834292E+04  0.65026124E+04
  0.65930000E+00  0.62969920E+05  0.62971693E+05  0.62977011E+05  0.18900429E+04  0.51976178E+04  0.65302280E+04
  0.66370000E+00  0.63225766E+05  0.63227555E+05  0.63232922E+05  0.19026565E+04  0.52106395E+04  0.65565775E+04
  0.66820000E+00  0.63492114E+05  0.63495726E+05  0.63499337E+05  0.19155569E+04  0.52240646E+04  0.65836382E+04
  0.67260000E+00  0.63750024E+05  0.63751846E+05  0.63757313E+05  0.18669431E+04  0.52584643E+04  0.65918338E+04
  0.67710000E+00  0.64016726E+05  0.64018565E+05  0.64024082E+05  0.18794338E+04  0.52713567E+04  0.66181693E+04
  0.68150000E+00  0.64275181E+05  0.64277037E+05  0.64282604E+05  0.18916469E+04  0.52830823E+04  0.66432456E+04
  0.68600000E+00  0.64542494E+05  0.64544367E+05  0.64549984E+05  0.19041376E+04  0.52951918E+04  0.66690137E+04
  0.69040000E+00  0.64801752E+05  0.64803641E+05  0.64809308E+05  0.19163507E+04  0.53061349E+04  0.66935253E+04
  0.69490000E+00  0.65069936E+05  0.65071841E+05  0.65077559E+05  0.19288414E+04  0.53407201E+04  0.67002373E+04
  0.69930000E+00  0.65328334E+05  0.65330256E+05  0.65336023E+05  0.19410546E+04  0.53511181E+04  0.67240102E+04
  0.70380000E+00  0.65597633E+05  0.65599572E+05  0.65605390E+05  0.19535453E+04  0.53618797E+04  0.67484551E+04
  0.70830000E+00  0.65866606E+05  0.65868562E+05  0.65874430E+05  0.19660359E+04  0.53961628E+04  0.67726062E+04
  0.71270000E+00  0.66127987E+05  0.66129960E+05  0.66135878E+05  0.19782491E+04  0.54056056E+04  0.67955087E+04
  0.71720000E+00  0.66398459E+05  0.66400448E+05  0.66406416E+05  0.19907398E+04  0.54153977E+04  0.68190708E+04
  0.72160000E+00  0.66659524E+05  0.66661531E+05  0.66667548E+05  0.19350363E+04  0.54486210E+04  0.68413866E+04
  0.72610000E+00  0.66931746E+05  0.66933769E+05  0.66939837E+05  0.19471035E+04  0.54578471E+04  0.68643536E+04
  0.73050000E+00  0.67194721E+05  0.67196760E+05  0.67202878E+05  0.19589025E+04  0.54659047E+04  0.68860767E+04
  0.73500000E+00  0.67466907E+05  0.67468964E+05  0.67475133E+05  0.19709697E+04  0.54995755E+04  0.69084425E+04
